"","tx_id","Length","EffectiveLength","Overdispersion","logFC","logCPM","F.x","PValue","FDR","Results","tx_version","NIF_dEJ","NIF_uORF","NIF_long_3utr","NIF|__|GC(cds[-10:termination_codon])","GC_5utr","GC_cds","GC_3utr","GC_exons","GC_introns","LENGTH_5utr","LENGTH_cds","LENGTH_3utr","LENGTH_exons","LENGTH_introns","EXONS_count","dEJs|__|penultimate-exon>=55(nts)","uORFs|__|count","uORFs|__|gc-content","uORFs|__|lengths","uORFs|__|max-length","nif_feature","gene_id","gene.x","A","Coef.UPF3B_vs_Control","Coef.UPF3A_vs_Control","Coef.UPF3A_OE_vs_Control","Coef.DoubleKD_vs_Control","Coef.UPF3A_OE_UPF3B_KD_vs_Control","t.UPF3B_vs_Control","t.UPF3A_vs_Control","t.UPF3A_OE_vs_Control","t.DoubleKD_vs_Control","t.UPF3A_OE_UPF3B_KD_vs_Control","p.value.UPF3B_vs_Control","p.value.UPF3A_vs_Control","p.value.UPF3A_OE_vs_Control","p.value.DoubleKD_vs_Control","p.value.UPF3A_OE_UPF3B_KD_vs_Control","p.value.adj.UPF3B_vs_Control","p.value.adj.UPF3A_vs_Control","p.value.adj.UPF3A_OE_vs_Control","p.value.adj.DoubleKD_vs_Control","p.value.adj.UPF3A_OE_UPF3B_KD_vs_Control","F.y","F.p.value","Res.UPF3B_vs_Control","Res.UPF3A_vs_Control","Res.UPF3A_OE_vs_Control","Res.DoubleKD_vs_Control","Res.UPF3A_OE_UPF3B_KD_vs_Control","gene.y","entrez"
"22","ENSMUST00000027009",2649,2376.094,2.17024763005781,-1.00946887211521,4.06595224512398,139.729797759905,8.35751177779013e-12,6.98159244082211e-09,-1,"ENSMUST00000027009.11","0","0","1",0.5,0.449438202247191,0.424603174603175,0.318461538461538,"[0.46875, 0.43253968253968256, 0.38333333333333336, 0.41025641025641024, 0.4421052631578947, 0.39080459770114945, 0.46808510638297873, 0.4, 0.36363636363636365, 0.4789915966386555, 0.31484375]","[0.38598326359832635, 0.40092378752886837, 0.4122137404580153, 0.3368237347294939, 0.3868421052631579, 0.30583756345177665, 0.37142857142857144, 0.37647389107243123, 0.3333333333333333, 0.3891083740026338]",89,1260,1300,"[96, 252, 60, 78, 95, 174, 235, 150, 110, 119, 1280]","[956, 2165, 1441, 1719, 380, 788, 665, 3562, 369, 12909]",11,NA,0,"","",NA,"One","ENSMUSG00000025887","Casp12",4.96,-0.903,-1.088,-0.155,-1.837,-1.124,-15.89,-18.96,-2.87,-29.37,-19.51,0,0,0.01136,0,0,0,0,0.309862,0,0,245.46,0,-1,-1,0,-1,-1,"Casp12","12364"
"23","ENSMUST00000026577",3191,2918.094,1.24008394337476,0.768718378362684,4.75751457840614,139.166159448832,8.72988934783158e-12,7.00667766029e-09,1,"ENSMUST00000026577.13","0","0","0",0.5,0.67741935483871,0.577625570776256,0.529336734693878,"[0.6871508379888268, 0.6097560975609756, 0.625, 0.47692307692307695, 0.5740740740740741, 0.58, 0.5375, 0.6241610738255033, 0.6056338028169014, 0.5118110236220472, 0.5730337078651685, 0.5866666666666667, 0.5771812080536913, 0.6240601503759399, 0.5752212389380531, 0.5283018867924528, 0.65, 0.5616438356164384, 0.5966850828729282, 0.5639097744360902, 0.5311804008908686]","[0.5571630204657727, 0.6375, 0.5447852760736196, 0.4317022166457549, 0.5363128491620112, 0.6, 0.6056338028169014, 0.5595238095238095, 0.6028368794326241, 0.48825065274151436, 0.6415094339622641, 0.6194690265486725, 0.5531914893617021, 0.5594405594405595, 0.4660678642714571, 0.5679442508710801, 0.5675675675675675, 0.6190476190476191, 0.7241379310344828, 0.5563380281690141]",217,2190,784,"[179, 82, 56, 65, 162, 150, 80, 149, 71, 127, 89, 75, 149, 133, 113, 106, 120, 73, 181, 133, 898]","[2834, 80, 815, 11955, 537, 75, 142, 84, 141, 383, 106, 226, 94, 286, 2004, 574, 259, 126, 87, 142]",21,NA,0,"","",NA,"None","ENSMUSG00000025504","Eps8l2",3.57,0.854,0.802,-0.219,1.217,0.577,9.91,9.31,-2.25,14.51,6.55,0,0,0.03894,0,1e-05,3e-06,8e-06,0.479935,0,0.000183,80.95,0,1,1,0,1,0,"Eps8l2","98845"
"24","ENSMUST00000018012",2693,2420.094,1.3265979986279,2.310187973687,1.30777564498898,129.559338292348,1.87994948288675e-11,1.30427071496616e-08,1,"ENSMUST00000018012.14","0","1","0",0.5,0.578358208955224,0.542572463768116,0.465337132003799,"[0.5714285714285714, 0.5894308943089431, 0.5833333333333334, 0.58, 0.5172413793103449, 0.5119047619047619, 0.553030303030303, 0.5752212389380531, 0.4864864864864865, 0.5862068965517241, 0.5416666666666666, 0.5705128205128205, 0.4777777777777778, 0.47126436781609193]","[0.43021733438072796, 0.52421875, 0.453318335208099, 0.5257142857142857, 0.5578231292517006, 0.5251875669882101, 0.5002481389578164, 0.5053003533568905, 0.4666666666666667, 0.46015488383712216, 0.4980744544287548, 0.4781212364512244, 0.44025887819449055]",536,1104,1053,"[266, 246, 60, 50, 58, 84, 132, 113, 37, 87, 96, 156, 90, 1218]","[3819, 1280, 889, 525, 147, 933, 2015, 283, 915, 4003, 779, 2491, 6026]",14,NA,1,"[0.6190476190476191]","[42]",42,"One","ENSMUSG00000017868","Sgk2",-0.19,1.246,2.483,0.073,3.721,0.761,4.81,10.69,0.25,17,2.79,0.00021,0,0.80787,0,0.01347,0.002172,2e-06,0.976516,0,0.05642,89.52,0,1,1,0,1,0,"Sgk2","27219"
"25","ENSMUST00000025254",1870,1597.094,1.00391894015028,1.51855301544377,2.8518237027485,125.230930582455,2.6984302078634e-11,1.81073514259791e-08,1,"ENSMUST00000025254.9","0","0","0",0.4,0.641860465116279,0.56140350877193,0.5818759936407,"[0.6371681415929203, 0.58125, 0.47761194029850745, 0.5537190082644629, 0.6, 0.6291390728476821, 0.5483870967741935, 0.5306122448979592, 0.5, 0.5714285714285714]","[0.5168318775149672, 0.49977668602054487, 0.5608695652173913, 0.5120963660289503, 0.5714285714285714, 0.519434628975265, 0.5647840531561462, 0.614406779661017, 0.5425330812854442]",215,1026,629,"[226, 160, 67, 121, 150, 151, 93, 49, 76, 777]","[10189, 2239, 230, 9879, 672, 849, 602, 236, 529]",10,NA,0,"","",NA,"None","ENSMUSG00000024395","Lims2",1.71,1.971,1.511,-0.09,2.946,1.874,11.19,8.3,-0.4,17.58,10.59,0,0,0.69565,0,0,1e-06,2.5e-05,0.958241,0,2e-06,97.29,0,1,1,0,1,1,"Lims2","225341"
"26","ENSMUST00000072519",5464,5191.094,1.10107671515645,-0.756683487915884,4.70819012078187,123.303089354503,3.18048250719666e-11,2.03550106190774e-08,-1,"ENSMUST00000072519.7","0","0","1",0.4,0.672566371681416,0.483058608058608,0.444662737393582,"[0.7320261437908496, 0.5629139072847682, 0.4146341463414634, 0.4246575342465753, 0.39215686274509803, 0.5117647058823529, 0.4444444444444444, 0.47, 0.4934210526315789, 0.43037974683544306, 0.43137254901960786, 0.5040650406504065, 0.42424242424242425, 0.5333333333333333, 0.5412844036697247, 0.4306569343065693, 0.5, 0.504424778761062, 0.48148148148148145, 0.4819277108433735, 0.4230769230769231, 0.44946236559139785]","[0.44408026897295466, 0.4282115869017632, 0.45435684647302904, 0.42050616482803377, 0.423773987206823, 0.4182798805740152, 0.3905005028235476, 0.42344961240310075, 0.4040041067761807, 0.41458836149101636, 0.43839285714285714, 0.44846678023850084, 0.43019624474688667, 0.4292855042634519, 0.41369184179131874, 0.4246932074518582, 0.41665592368183574, 0.4194242393197418, 0.4221675550088834, 0.4294460920309959, 0.3984713902086346]",226,2184,3054,"[153, 151, 41, 73, 51, 170, 36, 100, 152, 79, 51, 123, 132, 105, 109, 137, 164, 113, 108, 83, 78, 3255]","[94582, 22629, 964, 32361, 9380, 10383, 12927, 6192, 1948, 3729, 1120, 2348, 51874, 30609, 76279, 114817, 7757, 9761, 7317, 10453, 4841]",22,NA,0,"","",NA,"One","ENSMUSG00000041112","Elmo1",3.07,0.92,-0.781,-0.456,0.475,0.519,13.68,-9.2,-5.73,6.76,7.46,0,0,3e-05,1e-05,0,0,8e-06,0.041271,4.6e-05,5.4e-05,151.18,0,1,-1,0,0,0,"Elmo1","140580"
"27","ENSMUST00000089452",1527,1254.094,2.84476634396185,1.3744297546724,2.3696727039556,122.392592602303,3.43978403640619e-11,2.16616430711099e-08,1,"ENSMUST00000089452.6","0","1","0",0.5,0.506666666666667,0.556270096463023,0.54954954954955,"[0.48598130841121495, 0.5396825396825397, 0.5556414219474498]","[0.497031220072783, 0.4839357429718876]",150,933,444,"[107, 126, 1294]","[5221, 498]",3,NA,1,"[0.48717948717948717]","[39]",39,"One","ENSMUSG00000057346","Apol9a",3.9,0.602,1.157,-0.293,1.532,0.376,8.89,17.93,-3.93,24.18,5.45,0,0,0.00125,0,6e-05,8e-06,0,0.141971,0,0.00091,228.18,0,1,1,0,1,0,"Apol9a","223672"
"28","ENSMUST00000060833",2515,2242.094,1.45040284577936,1.68741983012421,2.24794223557166,120.811000231134,3.94606286077284e-11,2.37535575117669e-08,1,"ENSMUST00000060833.14","0","1","1",0.3,0.592592592592593,0.541666666666667,0.534524776604387,"[0.5831062670299727, 0.5419354838709678, 0.4930875576036866, 0.5961538461538461, 0.5583333333333333, 0.5588235294117647, 0.5344574780058651]","[0.4845328676562305, 0.45964669206789055, 0.4873096446700508, 0.4983617300131062, 0.537117903930131, 0.54292343387471]",324,960,1231,"[367, 155, 217, 156, 120, 136, 1364]","[16034, 5774, 4728, 6104, 687, 431]",7,NA,1,"[0.5208333333333334]","[48]",48,"Two","ENSMUSG00000000544","Gpa33",1.4,0.599,1.63,-0.177,1.801,0.298,4.36,13.49,-1.14,15,2.08,0.00051,0,0.27044,0,0.05469,0.004322,0,0.816941,0,0.150704,96.5,0,1,1,0,1,0,"Gpa33","59290"
"29","ENSMUST00000051803",1924,1651.094,1.0277855530121,0.951904177002613,3.44108494496843,119.269939009823,4.51750184228817e-11,2.67992612913597e-08,1,"ENSMUST00000051803.8","0","0","0",0.5,0.692982456140351,0.575692963752665,0.52605459057072,"[0.6902654867256637, 0.6012269938650306, 0.5675675675675675, 0.5785123966942148, 0.5581395348837209, 0.5487804878048781, 0.5710594315245479, 0.5868263473053892, 0.56, 0.5454545454545454]","[0.5262340352088367, 0.5484205075090627, 0.6116504854368932, 0.5833333333333334, 0.555921052631579, 0.5312672938572219, 0.5228426395939086, 0.4916918429003021, 0.5310173697270472]",114,1407,403,"[113, 163, 111, 121, 86, 82, 387, 167, 100, 594]","[5794, 1931, 103, 204, 304, 1807, 394, 2648, 1209]",10,NA,0,"","",NA,"None","ENSMUSG00000024885","Aldh3b1",2.56,0.922,0.942,-0.064,1.509,0.756,11.84,12.18,-0.71,20.43,9.57,0,0,0.48579,0,0,0,0,0.916474,0,5e-06,129.81,0,1,1,0,1,1,"Aldh3b1","67689"
"30","ENSMUST00000006900",721,448.37,1.02036517164878,0.90349423553624,5.25942706163692,118.893858635947,4.67011682032815e-11,2.69242101135904e-08,1,"ENSMUST00000006900.7","0","0","0",0.6,0.611374407582938,0.463356973995272,0.402298850574713,"[0.5547945205479452, 0.5081081081081081, 0.4262295081967213]","[0.4303699399573891, 0.4344034879112168]",211,423,87,"[292, 185, 244]","[10326, 2523]",3,NA,0,"","",NA,"None","ENSMUSG00000006717","Acot13",6.27,0.76,0.888,-0.047,1.278,0.806,9.23,10.82,-0.56,15.64,9.81,0,0,0.58334,0,0,6e-06,1e-06,0.934826,0,4e-06,82.69,0,1,1,0,1,1,"Acot13","66834"
"31","ENSMUST00000099106",603,330.837,1.13787566831618,0.798078847143271,4.1425817363747,116.160424438817,5.96154839734195e-11,3.23120322767751e-08,1,"ENSMUST00000099106.10","0","0","0",0.5,0.4,0.511261261261261,0.325842696629214,"[0.4765625, 0.52, 0.4225352112676056, 0.5121951219512195, 0.44594594594594594]","[0.4828339575530587, 0.47128300138953216, 0.4297043979812545, 0.5095652173913043]",70,444,89,"[128, 100, 71, 82, 222]","[3204, 12954, 4161, 575]",5,NA,0,"","",NA,"None","ENSMUSG00000074604","Mgst2",6.17,0.656,0.77,-0.234,1.019,0.716,9.2,10.84,-3.17,14.39,10.06,0,0,0.00606,0,0,6e-06,1e-06,0.254658,0,3e-06,94.33,0,1,1,0,1,1,"Mgst2","211666"
"32","ENSMUST00000115349",1577,1304.094,1.40828450317368,2.68526825089396,0.523272665808055,116.090352859239,5.99935126434638e-11,3.23120322767751e-08,1,"ENSMUST00000115349.9","0","0","0",0.5,0.50314465408805,0.480030721966206,0.474137931034483,"[0.4915254237288136, 0.5135135135135135, 0.43902439024390244, 0.4913294797687861, 0.46296296296296297, 0.4588235294117647, 0.48554913294797686, 0.4074074074074074, 0.4482758620689655, 0.4691358024691358, 0.5302325581395348]","[0.4524421593830334, 0.47695202257761055, 0.4337805840568271, 0.3943697373381928, 0.39897466827503014, 0.42463235294117646, 0.3691382765531062, 0.42574257425742573, 0.4193400022996436, 0.45955882352941174]",159,1302,116,"[354, 111, 82, 173, 108, 85, 173, 108, 87, 81, 215]","[1556, 2126, 12670, 7957, 3316, 544, 2495, 101, 8697, 2176]",11,NA,0,"","",NA,"None","ENSMUSG00000060459","Kng2",0.18,1.533,2.615,0.322,3.18,1.508,5.9,11.06,1.09,13.8,5.82,2e-05,0,0.29136,0,3e-05,0.000416,1e-06,0.826788,0,0.000524,58.45,0,1,1,0,1,1,"Kng2","385643"
"33","ENSMUST00000107739",4636,4363.094,4.24620994757776,1.52130646081691,2.73187984205538,112.331877965299,8.4605749774993e-11,4.22337457992657e-08,1,"ENSMUST00000107739.8","0","0","1",0.5,0.556910569105691,0.567937438905181,0.568508705526117,"[0.5646817248459959, 0.5625, 0.588, 0.4367816091954023, 0.5781990521327014, 0.5888324873096447, 0.6292134831460674, 0.5620437956204379, 0.5977011494252874, 0.5441176470588235, 0.5912408759124088, 0.54, 0.5816326530612245, 0.5675675675675675, 0.5277777777777778, 0.55, 0.5897435897435898, 0.49514563106796117, 0.5683060109289617, 0.6178861788617886, 0.5789473684210527, 0.5050505050505051, 0.5873015873015873, 0.6338028169014085, 0.5612403100775194]","[0.4987714987714988, 0.4719710669077758, 0.4454939000393546, 0.5040431266846361, 0.4811715481171548, 0.4975124378109453, 0.6046511627906976, 0.5517241379310345, 0.5028735632183908, 0.6296296296296297, 0.5659340659340659, 0.6404494382022472, 0.5646551724137931, 0.450261780104712, 0.4861111111111111, 0.5421686746987951, 0.4894598155467721, 0.525, 0.4765625, 0.5397301349325337, 0.47032474804031354, 0.446311010215664, 0.6121212121212121, 0.5401459854014599]",246,3069,1321,"[487, 80, 250, 87, 211, 197, 89, 137, 87, 68, 137, 150, 98, 148, 72, 80, 78, 103, 183, 123, 114, 99, 126, 142, 1290]","[407, 2212, 2541, 371, 478, 2010, 86, 145, 1044, 108, 546, 89, 232, 191, 504, 83, 1518, 160, 384, 667, 893, 4405, 330, 685]",25,NA,0,"","",NA,"One","ENSMUSG00000001507","Itga3",2.82,1.397,1.572,-0.153,2.269,1.088,7.81,8.93,-0.7,13.38,5.93,0,0,0.49389,0,2e-05,3e-05,1.1e-05,0.920022,0,0.000438,58.86,0,1,1,0,1,1,"Itga3","16400"
"34","ENSMUST00000105413",4653,4380.094,2.24329661755905,-1.02937366429918,2.94134813064648,105.314200532159,1.65012793327032e-10,7.76375709109818e-08,-1,"ENSMUST00000105413.8","0","0","1",0.4,0.681818181818182,0.59243397573162,0.508224617129892,"[0.6933333333333334, 0.5491329479768786, 0.5859766277128547, 0.42857142857142855, 0.5909090909090909, 0.5925925925925926, 0.6666666666666666, 0.5925925925925926, 0.5185185185185185, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6507936507936508, 0.6333333333333333, 0.6984126984126984, 0.6349206349206349, 0.6507936507936508, 0.6825396825396826, 0.6666666666666666, 0.6666666666666666, 0.5873015873015873, 0.6666666666666666, 0.6944444444444444, 0.5217391304347826, 0.5032679738562091, 0.5584988962472406, 0.5641025641025641, 0.519669742593492]","[0.4347609561752988, 0.5727272727272728, 0.5507246376811594, 0.4873096446700508, 0.46288906624102155, 0.5945945945945946, 0.5386819484240688, 0.5575221238938053, 0.47191011235955055, 0.5015384615384615, 0.5597189695550351, 0.5459272097053726, 0.5606936416184971, 0.5411522633744856, 0.5390334572490706, 0.580441640378549, 0.5694200351493849, 0.5565031982942431, 0.5013623978201635, 0.5044776119402985, 0.5192012288786483, 0.5428571428571428, 0.4737991266375546, 0.5514705882352942, 0.5177304964539007, 0.5212765957446809, 0.49810771470160115]",88,2802,1763,"[75, 173, 599, 21, 66, 54, 45, 27, 27, 45, 54, 63, 63, 90, 63, 63, 63, 63, 51, 36, 63, 63, 36, 46, 153, 453, 39, 2059]","[8032, 110, 207, 788, 1253, 111, 349, 226, 89, 325, 427, 577, 173, 486, 538, 317, 569, 469, 367, 335, 651, 175, 458, 136, 141, 94, 3435]",28,NA,0,"","",NA,"One","ENSMUSG00000020241","Col6a2",5.61,-0.932,-1.17,-0.112,-1.631,-1.038,-19.09,-23.73,-2.39,-31.84,-21.19,0,0,0.03006,0,0,0,0,0.456576,0,0,315,0,-1,-1,0,-1,-1,"Col6a2","12834"
"35","ENSMUST00000057454",645,372.623,1.0701377586336,0.695795289196129,6.21669125096625,104.134115042848,1.85287433245937e-10,8.35239395264101e-08,1,"ENSMUST00000057454.4","0","0","0",0.4,0.753846153846154,0.56078431372549,0.569230769230769,"[0.6633663366336634, 0.5894736842105263, 0.5657015590200446]","[0.5083240843507214, 0.5057577153385536]",65,255,325,"[101, 95, 449]","[1802, 2171]",3,NA,0,"","",NA,"None","ENSMUSG00000046814","Gchfr",7.6,0.681,0.681,-0.079,1.104,0.67,8.06,8.05,-0.94,12.97,7.92,0,0,0.36083,0,0,2.2e-05,3.3e-05,0.869571,0,3.1e-05,57.97,0,1,1,0,1,1,"Gchfr","320415"
"36","ENSMUST00000055096",3628,3355.094,1,0.71484051897444,4.62131224746851,98.2668546308621,3.35091791080256e-10,1.37163122842881e-07,1,"ENSMUST00000055096.5","0","0","1",0.3,0.6,0.500236406619385,0.488011283497884,"[0.625, 0.3972602739726027, 0.4906832298136646, 0.45454545454545453, 0.5384615384615384, 0.5491803278688525, 0.45, 0.4861111111111111, 0.4098360655737705, 0.455026455026455, 0.5142857142857142, 0.5168539325842697, 0.5562130177514792, 0.45161290322580644, 0.5573770491803278, 0.5217391304347826, 0.43434343434343436, 0.4782608695652174, 0.5294117647058824, 0.48, 0.5752212389380531, 0.48527443105756357]","[0.5238774055595153, 0.4095332343724229, 0.48096192384769537, 0.4209726443768997, 0.46064516129032257, 0.4230203120400353, 0.4665610142630745, 0.4615842763549732, 0.4838709677419355, 0.40988106129917656, 0.48924122310305773, 0.46494932432432434, 0.4639894419306184, 0.459358687546607, 0.48372093023255813, 0.44541484716157204, 0.45982142857142855, 0.42418032786885246, 0.4695278969957081, 0.49174690508940855, 0.4894117647058824]",95,2115,1418,"[80, 73, 161, 22, 78, 122, 60, 72, 61, 189, 70, 89, 169, 93, 61, 138, 99, 69, 102, 100, 226, 1494]","[1403, 12126, 499, 658, 775, 3397, 6310, 1679, 465, 1093, 883, 2368, 5304, 1341, 645, 458, 448, 1464, 1165, 1454, 1700]",22,NA,0,"","",NA,"One","ENSMUSG00000040219","Ttc12",2.87,0.613,0.669,-0.148,1.067,0.498,8.38,9.27,-1.83,15.28,6.74,0,0,0.08658,0,1e-05,1.5e-05,8e-06,0.611852,0,0.000141,79.92,0,1,1,0,1,0,"Ttc12","235330"
"37","ENSMUST00000129285",2818,2545.094,2.23435871821832,2.28496901310839,0.434589128847341,97.0265952075844,3.81186386601922e-10,1.52971591791926e-07,1,"ENSMUST00000129285.8","1","1","1",0.2,0.566037735849057,0.557471264367816,0.420344682639765,"[0.5822454308093995, 0.423728813559322, 0.45918367346938777, 0.425414364640884, 0.5048076923076923, 0.463302752293578, 0.3979656706929434]","[0.38464419074928047, 0.36260650658404336, 0.3810025590847509, 0.3723236883507764, 0.36013910019560963, 0.3590625]",265,174,2379,"[383, 59, 196, 181, 208, 218, 1573]","[93463, 10328, 33215, 29238, 4601, 3200]",7,806,2,"[0.6515151515151515, 0.6547619047619048]","[132, 84]",132,"Three","ENSMUSG00000028019","Pdgfc",-0.27,-1.274,2.417,0.04,1.599,-0.496,-3.99,12.13,0.16,7.44,-1.77,0.0011,0,0.87825,0,0.09616,0.007715,0,0.984031,1.8e-05,0.222947,75.62,0,-1,1,0,1,0,"Pdgfc","54635"
"38","ENSMUST00000069695",1546,1273.094,1.17310712629463,0.786778609472083,3.83605977681509,96.7958885828518,3.90492399432459e-10,1.55184712485134e-07,1,"ENSMUST00000069695.9","0","0","0",0.4,0.655813953488372,0.568627450980392,0.522330097087379,"[0.7551020408163265, 0.5714285714285714, 0.6041666666666666, 0.5517241379310345, 0.5735294117647058, 0.59375, 0.5674157303370787, 0.5323645970937912]","[0.6484641638225256, 0.5476772616136919, 0.5214285714285715, 0.5, 0.5189003436426117, 0.6153846153846154, 0.5622489959839357]",215,816,515,"[98, 182, 48, 87, 68, 128, 178, 757]","[586, 409, 280, 812, 291, 143, 249]",8,NA,0,"","",NA,"None","ENSMUSG00000055912","Tmem150a",3.56,0.644,0.769,0.238,1.326,0.674,9.04,10.99,3.22,19.67,9.52,0,0,0.00547,0,0,7e-06,1e-06,0.243893,0,5e-06,92.86,0,1,1,0,1,1,"Tmem150a","232086"
"39","ENSMUST00000038069",1048,775.094,1.14380074035464,2.08938254972193,0.500076035811445,95.5486488522625,4.45238078226961e-10,1.71933304302492e-07,1,"ENSMUST00000038069.9","0","0","0",0.4,0.585714285714286,0.472431077694236,0.455555555555556,"[0.582089552238806, 0.45, 0.48055555555555557, 0.4484536082474227]","[0.4847328244274809, 0.4697986577181208, 0.41787813176616145]",70,798,180,"[134, 360, 360, 194]","[786, 2384, 3233]",4,NA,0,"","",NA,"None","ENSMUSG00000054169","Ceacam10",0.61,0.945,2.059,-0.433,2.248,0.879,4.69,11.56,-1.78,12.72,4.36,0.00026,0,0.09497,0,0.00051,0.002597,1e-06,0.627724,0,0.004849,69.49,0,1,1,0,1,1,"Ceacam10","26366"
"40","ENSMUST00000074949",2614,2341.094,1,1.21896851722959,2.68838025894273,94.0295038080268,5.23362905587998e-10,1.98359387170681e-07,1,"ENSMUST00000074949.4","0","0","1",0.4,0.55045871559633,0.587813620071685,0.530467899891186,"[0.5538461538461539, 0.5436130632492766]","[0.47360400566017197]",218,558,1838,"[195, 2419]","[9187]",2,NA,0,"","",NA,"One","ENSMUSG00000057137","Tmem140",1.34,0.649,1.188,-0.208,1.94,0.344,5.05,10.01,-1.41,17.32,2.57,0.00013,0,0.17713,0,0.02082,0.001513,3e-06,0.745242,0,0.077287,98.76,0,1,1,0,1,0,"Tmem140","68487"
"41","ENSMUST00000052622",1805,1532.094,1.00654125205835,0.633371052534255,4.86742957448927,90.6080172325012,7.59110572650259e-10,2.6786787129563e-07,1,"ENSMUST00000052622.6","0","0","1",0.5,0.534090909090909,0.514018691588785,0.408309455587393,"[0.4332409972299169]","[]",88,321,1396,"[1805]","[]",1,NA,0,"","",NA,"One","ENSMUSG00000056313","Tcim",4.12,0.764,0.605,-0.34,0.943,0.692,10.85,8.53,-4.34,13.57,9.82,0,0,0.00053,0,0,1e-06,1.9e-05,0.099455,0,4e-06,97.53,0,1,1,0,1,1,"Tcim","69068"
"42","ENSMUST00000029140",1597,1324.094,1.17148290166007,0.770859720160152,3.95956049423983,89.6003356636359,8.48771508118907e-10,2.87523957440875e-07,1,"ENSMUST00000029140.12","0","0","0",0.5,0.622775800711744,0.556927297668038,0.422487223168654,"[0.6120689655172413, 0.562015503875969, 0.5520833333333334, 0.4438122332859175]","[0.48936170212765956, 0.5463108320251178, 0.5311203319502075]",281,729,587,"[348, 258, 288, 703]","[1880, 637, 241]",4,NA,0,"","",NA,"None","ENSMUSG00000027611","Procr",4.13,0.708,0.848,0.253,1.35,0.73,7.66,9.33,2.64,15.27,7.95,0,0,0.01799,0,0,3.6e-05,7e-06,0.383563,0,3e-05,57.24,0,1,1,0,1,1,"Procr","19124"
"43","ENSMUST00000160939",458,187.698,1.10247686070138,1.53956913723293,1.52590586569153,88.7164370539281,9.36863599585678e-10,3.09263207434198e-07,1,"ENSMUST00000160939.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","ENSMUSG00000026885","Ttll11",3.95,1.289,1.502,0.448,2.772,1.075,10.51,12.46,3.4,24.2,8.64,0,0,0.00375,0,0,1e-06,0,0.232866,0,1.3e-05,141.35,0,1,1,0,1,1,"Ttll11","74410"
"44","ENSMUST00000151332",1065,792.094,2.51216466866869,-1.08615947541471,2.46992378781314,84.9565882134246,1.43860688881468e-09,4.52973044460395e-07,-1,"ENSMUST00000151332.2","0","1","0",0.5,0.425714285714286,0.422857142857143,NA,"[0.6818181818181818, 0.42857142857142855, 0.38333333333333336, 0.41025641025641024, 0.4421052631578947, 0.39080459770114945, 0.46808510638297873, 0.4, 0.36363636363636365, 0.46464646464646464]","[0.38598326359832635, 0.40378947368421053, 0.4122137404580153, 0.3368237347294939, 0.3868421052631579, 0.30583756345177665, 0.37142857142857144, 0.37647389107243123, 0.3333333333333333]",1050,1050,NA,"[22, 42, 60, 78, 95, 174, 235, 150, 110, 99]","[956, 2375, 1441, 1719, 380, 788, 665, 3562, 369]",10,NA,7,"[0.4090909090909091, 0.4, 0.40350877192982454, 0.3958333333333333, 0.4722222222222222, 0.3541666666666667, 0.3888888888888889]","[66, 60, 57, 48, 36, 48, 36]",66,"One","ENSMUSG00000025887","Casp12",4.96,-0.903,-1.088,-0.155,-1.837,-1.124,-15.89,-18.96,-2.87,-29.37,-19.51,0,0,0.01136,0,0,0,0,0.309862,0,0,245.46,0,-1,-1,0,-1,-1,"Casp12","12364"
"45","ENSMUST00000017590",2532,2259.094,1.14307074404111,0.700564379923343,4.15893942000773,84.142492936045,1.58168534967958e-09,4.86790424198754e-07,1,"ENSMUST00000017590.9","0","0","1",0.6,0.608108108108108,0.566193853427896,0.540942928039702,"[0.6142857142857143, 0.5911949685534591, 0.55, 0.5464632454923717]","[0.5187462804999008, 0.49924528301886795, 0.5043103448275862]",74,846,1612,"[70, 159, 140, 2163]","[15123, 2650, 1160]",4,NA,0,"","",NA,"One","ENSMUSG00000017446","C1qtnf1",3.04,0.716,0.706,-0.19,1.322,0.429,10.13,10.03,-2.39,19.72,5.9,0,0,0.02987,0,2e-05,2e-06,3e-06,0.455532,0,0.000464,127.53,0,1,1,0,1,0,"C1qtnf1","56745"
"46","ENSMUST00000030183",2023,1750.094,1,0.986717047955431,3.0651281158653,83.9701271707062,1.6139065377441e-09,4.93000270966264e-07,1,"ENSMUST00000030183.10","0","0","0",0.5,0.611111111111111,0.576103500761035,0.450726978998384,"[0.6093023255813953, 0.6, 0.631578947368421, 0.5804195804195804, 0.5806451612903226, 0.47761194029850745, 0.5443037974683544, 0.5661764705882353, 0.48148148148148145, 0.5609756097560976, 0.45481049562682213]","[0.4912854030501089, 0.6177606177606177, 0.5966386554621849, 0.5365853658536586, 0.48782961460446245, 0.46257197696737046, 0.5031847133757962, 0.5149253731343284, 0.5544794188861986, 0.4636363636363636]",90,1314,619,"[430, 30, 171, 143, 93, 67, 158, 136, 27, 82, 686]","[918, 259, 119, 82, 986, 1563, 157, 134, 413, 110]",11,NA,0,"","",NA,"None","ENSMUSG00000028463","Car9",2.08,1.128,1.073,-0.14,1.567,0.648,9.51,9.07,-0.99,13.76,5.17,0,0,0.3387,0,1e-04,4e-06,1e-05,0.856687,0,0.001375,66.96,0,1,1,0,1,1,"Car9","230099"
